Method,Total,Class_0,Class_1,Class_2,Class_3,Class_4,Imbalance_Ratio
Original,59909,1729,11388,26409,16881,3502,15.27
1_SMOTE,132045,26409,26409,26409,26409,26409,1.0
2_ADASYN,133610,26319,27143,26409,27652,26087,1.06
3_Borderline_SMOTE,132045,26409,26409,26409,26409,26409,1.0
4_SMOTE_ENN,113258,25959,23481,19216,19978,24624,1.35
5_SMOTE_Tomek,130379,26373,26149,25718,25836,26303,1.03
6_Random_Oversampling,132045,26409,26409,26409,26409,26409,1.0
7_Random_Undersampling,8645,1729,1729,1729,1729,1729,1.0
