Method,Total,Class_0,Class_1,Class_2,Class_3,Imbalance_Ratio
Original,59909,34515,19946,5310,138,250.11
1_SMOTE,138060,34515,34515,34515,34515,1.0
2_ADASYN,138638,34515,34881,34742,34500,1.01
3_Borderline_SMOTE,138060,34515,34515,34515,34515,1.0
4_SMOTE_ENN,133651,32505,32406,34225,34515,1.07
5_SMOTE_Tomek,137768,34378,34369,34506,34515,1.0
6_Random_Oversampling,138060,34515,34515,34515,34515,1.0
7_Random_Undersampling,552,138,138,138,138,1.0
