Pollutant,r_HI,p_HI,sig_HI,n_HI,r_PET,p_PET,sig_PET,n_PET
PM2.5,-0.2813,0.0,***,5493,0.0637,0.0,***,5493
PM10,-0.2719,0.0,***,5493,0.0637,0.0,***,5493
NO2,-0.32,0.0,***,5493,-0.0734,0.0,***,5493
NH3,0.0756,0.0,***,5493,0.0072,0.5941,,5493
SO2,-0.0243,0.0719,,5493,0.0943,0.0,***,5493
CO,-0.1882,0.0,***,5493,0.0468,0.0005,***,5493
Ozone,0.0586,0.0,***,5493,0.0448,0.0009,***,5493
AQI_max,-0.2461,0.0,***,5493,0.0835,0.0,***,5493
HAPSI,0.9427,0.0,***,5493,0.8583,0.0,***,5493
