Model,Accuracy,F1_macro,Recall,Precision,Kappa,ROC_AUC
SAINT,0.8735,0.6734,0.8744,0.6929,0.7557,0.9231
XGBoost,0.9961,0.9251,0.9294,0.921,0.9927,0.9999
BBAG,0.9008,0.7234,0.8592,0.7028,0.8149,0.983
SAINT-XGB-Stack,0.9934,0.947,0.9781,0.9237,0.9877,0.9998
