Model,Accuracy,F1_macro,Recall,Precision,Kappa,ROC_AUC
SAINT,0.9708,0.9439,0.9734,0.9226,0.9514,0.9986
XGBoost,0.9934,0.9525,0.9888,0.9267,0.9891,0.9999
BBAG,0.9431,0.819,0.9447,0.7829,0.9071,0.995
SAINT-XGB-Stack,0.9935,0.9561,0.9894,0.9316,0.9893,0.9999
